Name of Song,Genius URL,YouTube Link
Eminem - Rap God,https://genius.com/Eminem-rap-god-lyrics,https://www.youtube.com/watch?v=XbGs_qK2PQA
Twista - Slow Jamz,https://genius.com/Twista-slow-jamz-lyrics,https://www.youtube.com/watch?v=hWmgsfiklcs
Tech N9ne - Speedom,https://genius.com/Tech-n9ne-speedom-worldwide-choppers-2-lyrics,https://www.youtube.com/watch?v=_FBwVRNOL70
Busta Rhymes - Break Ya Neck,https://genius.com/Busta-rhymes-break-ya-neck-lyrics,https://www.youtube.com/watch?v=TptGx8QrqrY
Busta Rhymes - Look At Me Know,https://genius.com/Chris-brown-look-at-me-now-lyrics,https://www.youtube.com/watch?v=_p9I5ipJFs0
Twistid Insane - Evergassing Gobstopper,https://genius.com/Twisted-insane-the-evergassin-gobstopper-lyrics,https://www.youtube.com/watch?v=ke1IJicUbE8
Eminem - Lose Yourself,https://genius.com/Eminem-lose-yourself-lyrics,https://www.youtube.com/watch?v=_Yhyp-_hX2s
"Eminem & Royce Da 5'9"" - I'm On Everything",https://genius.com/Bad-meets-evil-im-on-everything-lyrics,https://www.youtube.com/watch?v=O8QEX0Rmm48
"Eminem & Royce Da 5'9"" - Fast Lane",https://genius.com/Bad-meets-evil-fast-lane-lyrics,https://www.youtube.com/watch?v=rJOsjP33nF4
Logic - 100 Miles and Running,https://genius.com/Logic-100-miles-and-running-lyrics,https://www.youtube.com/watch?v=heqMtBJxfVg
Logic - Stainless,https://genius.com/Logic-stainless-lyrics,https://www.youtube.com/watch?v=dTkC2r4YOXM
Logic - Jack the Ripper,https://genius.com/Logic-jack-the-ripper-lyrics,https://www.youtube.com/watch?v=4TWy7cgK1Fg
Eminem - Lucky You,https://genius.com/Eminem-lucky-you-lyrics,https://www.youtube.com/watch?v=1arz9Q9qBas
Outkast - B.o.B,https://genius.com/Outkast-bob-lyrics,https://www.youtube.com/watch?v=lVehcuJXe6I
Eminem - Greatest,https://genius.com/Eminem-greatest-lyrics,https://www.youtube.com/watch?v=2h_GVezLtcc
Niki Minaj - Want Some More,https://genius.com/Nicki-minaj-want-some-more-lyrics,https://www.youtube.com/watch?v=14_9QW_XfwA
Tech N9ne - So Dope,https://genius.com/Tech-n9ne-so-dope-they-wanna-lyrics,https://www.youtube.com/watch?v=2bng91N0XV4
K.Flay - Speed it Up,https://genius.com/Kflay-speed-it-up-lyrics,https://www.youtube.com/watch?v=aqoDT-FBujg